channels,difficulty,duration,gender,age,income,year,month,day,target
1,10,10,1,47,52000.0,2016,8,2,7
1,7,7,1,47,52000.0,2016,8,2,1
1,20,10,1,47,52000.0,2016,8,2,0
1,10,7,1,53,96000.0,2017,9,27,2
1,7,7,1,53,96000.0,2017,9,27,1
1,5,5,1,53,96000.0,2017,9,27,6
1,10,7,1,49,59000.0,2018,6,1,2
0,10,7,0,43,70000.0,2017,11,13,2
0,5,7,0,43,70000.0,2017,11,13,4
0,10,5,0,43,70000.0,2017,11,13,3
0,10,7,0,62,104000.0,2017,10,31,2
0,7,7,0,62,104000.0,2017,10,31,1
0,10,7,0,73,110000.0,2017,11,1,2
0,5,5,0,73,110000.0,2017,11,1,6
1,10,7,1,76,66000.0,2017,10,15,2
1,10,7,1,76,66000.0,2017,10,15,5
0,10,7,0,65,70000.0,2017,8,10,2
0,10,10,0,65,70000.0,2017,8,10,7
0,5,5,0,65,70000.0,2017,8,10,6
0,20,10,0,65,70000.0,2017,8,10,0
0,10,7,0,53,55000.0,2017,1,10,2
0,10,10,0,53,55000.0,2017,1,10,7
0,5,5,0,53,55000.0,2017,1,10,6
0,20,10,0,53,55000.0,2017,1,10,0
1,10,7,1,28,60000.0,2017,9,4,2
1,10,10,1,28,60000.0,2017,9,4,7
0,10,7,0,51,78000.0,2015,11,29,2
0,10,10,0,51,78000.0,2015,11,29,7
0,5,7,0,51,78000.0,2015,11,29,4
0,7,7,0,51,78000.0,2015,11,29,1
1,10,7,1,65,40000.0,2016,11,8,2
0,10,7,0,48,42000.0,2016,2,9,2
0,5,7,0,48,42000.0,2016,2,9,4
1,10,7,1,56,36000.0,2016,10,13,2
1,5,7,1,56,36000.0,2016,10,13,4
1,10,7,1,58,85000.0,2018,2,6,2
1,10,10,1,58,85000.0,2018,2,6,7
1,10,7,1,44,72000.0,2016,1,11,2
1,10,10,1,44,72000.0,2016,1,11,7
1,10,7,1,44,72000.0,2016,1,11,5
1,7,7,1,44,72000.0,2016,1,11,1
1,10,7,1,49,36000.0,2015,9,20,2
1,5,7,1,49,36000.0,2015,9,20,4
1,10,7,1,49,36000.0,2015,9,20,5
1,20,10,1,49,36000.0,2015,9,20,0
1,10,7,1,19,31000.0,2017,5,6,2
1,10,7,1,27,60000.0,2018,4,10,2
1,10,10,1,27,60000.0,2018,4,10,7
1,5,7,1,27,60000.0,2018,4,10,4
1,10,5,1,27,60000.0,2018,4,10,3
0,10,7,0,51,72000.0,2017,11,8,2
0,10,10,0,51,72000.0,2017,11,8,7
0,10,7,0,53,96000.0,2017,4,20,2
0,10,5,0,53,96000.0,2017,4,20,3
0,7,7,0,53,96000.0,2017,4,20,1
1,10,7,1,58,82000.0,2017,9,29,2
1,5,7,1,58,82000.0,2017,9,29,4
1,10,7,1,58,82000.0,2017,9,29,5
1,7,7,1,58,82000.0,2017,9,29,1
1,20,10,1,58,82000.0,2017,9,29,0
1,10,7,1,32,31000.0,2016,6,23,2
1,5,7,1,32,31000.0,2016,6,23,4
1,10,7,1,32,31000.0,2016,6,23,5
1,10,7,1,57,56000.0,2018,1,13,2
1,5,7,1,57,56000.0,2018,1,13,4
1,10,7,1,57,56000.0,2018,1,13,5
1,20,10,1,57,56000.0,2018,1,13,0
1,10,7,1,79,53000.0,2016,9,17,2
1,5,7,1,79,53000.0,2016,9,17,4
1,5,5,1,79,53000.0,2016,9,17,6
0,10,7,0,83,72000.0,2017,10,26,2
0,5,7,0,83,72000.0,2017,10,26,4
1,10,7,1,60,51000.0,2016,1,16,2
1,10,5,1,60,51000.0,2016,1,16,3
1,5,5,1,60,51000.0,2016,1,16,6
1,10,7,1,71,95000.0,2018,1,27,2
1,10,7,1,71,95000.0,2018,1,27,5
0,10,7,0,74,106000.0,2016,8,27,2
0,20,10,0,74,106000.0,2016,8,27,0
1,10,7,1,63,56000.0,2018,7,13,2
1,10,10,1,63,56000.0,2018,7,13,7
1,10,7,1,63,56000.0,2018,7,13,5
0,10,7,0,63,94000.0,2016,10,25,2
0,5,7,0,63,94000.0,2016,10,25,4
0,7,7,0,63,94000.0,2016,10,25,1
0,20,10,0,63,94000.0,2016,10,25,0
0,10,7,0,52,97000.0,2018,4,11,2
0,10,7,0,52,97000.0,2018,4,11,5
0,20,10,0,52,97000.0,2018,4,11,0
1,10,7,1,69,51000.0,2017,10,20,2
1,10,5,1,69,51000.0,2017,10,20,3
1,7,7,1,69,51000.0,2017,10,20,1
1,5,5,1,69,51000.0,2017,10,20,6
1,10,7,1,67,114000.0,2016,4,9,2
1,10,5,1,67,114000.0,2016,4,9,3
1,5,5,1,67,114000.0,2016,4,9,6
1,10,7,1,33,33000.0,2018,3,23,2
1,5,7,1,33,33000.0,2018,3,23,4
0,10,7,0,51,52000.0,2015,11,9,2
0,5,5,0,51,52000.0,2015,11,9,6
0,20,10,0,51,52000.0,2015,11,9,0
0,10,7,0,54,87000.0,2018,4,20,2
0,10,10,0,54,87000.0,2018,4,20,7
0,5,7,0,54,87000.0,2018,4,20,4
0,7,7,0,54,87000.0,2018,4,20,1
1,10,7,1,48,58000.0,2017,9,20,2
1,10,5,1,48,58000.0,2017,9,20,3
1,5,5,1,48,58000.0,2017,9,20,6
1,20,10,1,48,58000.0,2017,9,20,0
1,10,7,1,45,50000.0,2018,4,8,2
1,10,5,1,45,50000.0,2018,4,8,3
1,7,7,1,45,50000.0,2018,4,8,1
1,10,7,1,74,77000.0,2016,10,8,2
0,10,7,0,67,111000.0,2017,6,29,2
0,10,5,0,67,111000.0,2017,6,29,3
0,7,7,0,67,111000.0,2017,6,29,1
0,10,7,0,76,76000.0,2017,11,13,2
0,10,10,0,76,76000.0,2017,11,13,7
0,10,7,0,76,76000.0,2017,11,13,5
0,10,7,0,60,62000.0,2016,4,19,2
0,7,7,0,60,62000.0,2016,4,19,1
0,10,7,0,71,93000.0,2016,9,25,2
0,10,7,0,71,93000.0,2016,9,25,5
0,20,10,0,71,93000.0,2016,9,25,0
1,10,7,1,67,77000.0,2017,12,29,2
1,10,5,1,67,77000.0,2017,12,29,3
1,7,7,1,67,77000.0,2017,12,29,1
0,10,7,0,61,99000.0,2016,6,12,2
0,5,5,0,61,99000.0,2016,6,12,6
0,10,7,0,83,73000.0,2017,4,30,2
0,5,7,0,83,73000.0,2017,4,30,4
0,10,7,0,83,73000.0,2017,4,30,5
0,20,10,0,83,73000.0,2017,4,30,0
0,10,7,0,71,67000.0,2015,10,17,2
0,10,5,0,71,67000.0,2015,10,17,3
0,10,7,0,60,53000.0,2015,12,27,2
0,10,10,0,60,53000.0,2015,12,27,7
0,10,5,0,60,53000.0,2015,12,27,3
0,10,7,0,53,100000.0,2017,5,7,2
0,10,7,0,53,100000.0,2017,5,7,5
0,10,5,0,53,100000.0,2017,5,7,3
1,10,7,1,83,103000.0,2017,11,23,2
1,10,7,1,83,103000.0,2017,11,23,5
1,20,10,1,83,103000.0,2017,11,23,0
1,10,7,1,38,86000.0,2017,8,19,2
1,10,10,1,38,86000.0,2017,8,19,7
1,10,5,1,38,86000.0,2017,8,19,3
1,7,7,1,38,86000.0,2017,8,19,1
0,10,7,0,24,73000.0,2017,10,28,2
0,5,7,0,24,73000.0,2017,10,28,4
0,20,10,0,24,73000.0,2017,10,28,0
1,10,7,1,65,76000.0,2017,1,12,2
1,10,10,1,65,76000.0,2017,1,12,7
1,5,5,1,65,76000.0,2017,1,12,6
1,20,10,1,65,76000.0,2017,1,12,0
0,10,7,0,46,60000.0,2015,12,21,2
0,5,7,0,46,60000.0,2015,12,21,4
0,10,5,0,46,60000.0,2015,12,21,3
1,10,7,1,38,89000.0,2018,4,3,2
1,10,10,1,38,89000.0,2018,4,3,7
1,10,7,1,38,89000.0,2018,4,3,5
1,5,5,1,38,89000.0,2018,4,3,6
1,10,7,1,48,79000.0,2017,4,9,2
1,10,7,1,48,79000.0,2017,4,9,5
1,10,7,1,66,61000.0,2018,2,11,2
1,10,7,1,57,77000.0,2017,9,8,2
1,5,7,1,57,77000.0,2017,9,8,4
1,7,7,1,57,77000.0,2017,9,8,1
1,5,5,1,57,77000.0,2017,9,8,6
1,10,7,1,55,61000.0,2017,12,26,2
1,20,10,1,55,61000.0,2017,12,26,0
1,10,7,1,54,89000.0,2016,5,8,2
1,10,10,1,54,89000.0,2016,5,8,7
1,10,7,1,54,89000.0,2016,5,8,5
1,10,7,1,49,53000.0,2017,8,29,2
1,5,7,1,49,53000.0,2017,8,29,4
0,10,7,0,25,63000.0,2017,9,23,2
0,7,7,0,25,63000.0,2017,9,23,1
0,10,7,0,61,82000.0,2016,5,17,2
0,10,10,0,61,82000.0,2016,5,17,7
0,10,7,0,50,53000.0,2017,10,7,2
0,7,7,0,50,53000.0,2017,10,7,1
0,20,10,0,50,53000.0,2017,10,7,0
0,10,7,0,63,57000.0,2016,1,26,2
0,10,7,0,63,57000.0,2016,1,26,5
0,5,5,0,63,57000.0,2016,1,26,6
2,10,7,2,43,56000.0,2017,5,26,2
2,10,10,2,43,56000.0,2017,5,26,7
2,7,7,2,43,56000.0,2017,5,26,1
1,10,7,1,75,84000.0,2016,3,15,2
1,10,10,1,75,84000.0,2016,3,15,7
1,7,7,1,75,84000.0,2016,3,15,1
1,5,5,1,75,84000.0,2016,3,15,6
0,10,7,0,45,51000.0,2018,1,8,2
0,5,7,0,45,51000.0,2018,1,8,4
0,20,10,0,45,51000.0,2018,1,8,0
0,10,7,0,70,59000.0,2018,4,5,2
0,10,10,0,70,59000.0,2018,4,5,7
1,10,7,1,29,61000.0,2018,3,17,2
0,10,7,0,57,75000.0,2015,11,4,2
0,10,10,0,57,75000.0,2015,11,4,7
0,7,7,0,57,75000.0,2015,11,4,1
1,10,7,1,93,45000.0,2016,3,29,2
1,5,7,1,93,45000.0,2016,3,29,4
1,10,7,1,44,56000.0,2014,3,10,2
1,5,7,1,44,56000.0,2014,3,10,4
0,10,7,0,62,78000.0,2015,5,25,2
0,10,10,0,62,78000.0,2015,5,25,7
0,10,7,0,62,78000.0,2015,5,25,5
0,10,5,0,62,78000.0,2015,5,25,3
0,10,7,0,38,69000.0,2018,3,22,2
0,10,10,0,38,69000.0,2018,3,22,7
0,5,7,0,38,69000.0,2018,3,22,4
0,7,7,0,38,69000.0,2018,3,22,1
0,10,7,0,66,91000.0,2018,2,2,2
0,10,5,0,66,91000.0,2018,2,2,3
0,20,10,0,66,91000.0,2018,2,2,0
1,10,7,1,88,57000.0,2017,1,30,2
1,10,5,1,88,57000.0,2017,1,30,3
1,7,7,1,88,57000.0,2017,1,30,1
1,5,5,1,88,57000.0,2017,1,30,6
0,10,7,0,73,74000.0,2017,6,23,2
0,10,7,0,58,91000.0,2016,2,9,2
0,10,7,0,58,91000.0,2016,2,9,5
0,7,7,0,58,91000.0,2016,2,9,1
0,20,10,0,58,91000.0,2016,2,9,0
0,10,7,0,60,65000.0,2017,10,10,2
0,5,5,0,60,65000.0,2017,10,10,6
0,10,7,0,26,72000.0,2016,12,7,2
0,5,7,0,26,72000.0,2016,12,7,4
0,10,5,0,26,72000.0,2016,12,7,3
0,10,7,0,46,70000.0,2016,7,13,2
0,7,7,0,46,70000.0,2016,7,13,1
0,10,7,0,36,64000.0,2015,10,22,2
0,5,7,0,36,64000.0,2015,10,22,4
0,7,7,0,36,64000.0,2015,10,22,1
0,20,10,0,36,64000.0,2015,10,22,0
0,10,7,0,67,88000.0,2017,6,13,2
0,7,7,0,67,88000.0,2017,6,13,1
0,10,7,0,64,84000.0,2018,4,7,2
0,5,5,0,64,84000.0,2018,4,7,6
1,10,7,1,48,110000.0,2015,11,8,2
1,10,7,1,33,38000.0,2017,5,20,2
1,5,7,1,33,38000.0,2017,5,20,4
1,5,5,1,33,38000.0,2017,5,20,6
1,10,7,1,59,95000.0,2018,1,27,2
1,10,10,1,59,95000.0,2018,1,27,7
1,20,10,1,59,95000.0,2018,1,27,0
1,10,7,1,23,70000.0,2017,12,26,2
1,10,7,1,23,70000.0,2017,12,26,5
1,10,5,1,23,70000.0,2017,12,26,3
1,7,7,1,23,70000.0,2017,12,26,1
1,20,10,1,23,70000.0,2017,12,26,0
1,10,7,1,30,59000.0,2016,8,24,2
1,5,7,1,30,59000.0,2016,8,24,4
1,10,7,1,30,59000.0,2016,8,24,5
1,20,10,1,30,59000.0,2016,8,24,0
1,10,7,1,75,87000.0,2017,8,22,2
1,5,7,1,75,87000.0,2017,8,22,4
1,10,5,1,75,87000.0,2017,8,22,3
1,5,5,1,75,87000.0,2017,8,22,6
0,10,7,0,38,87000.0,2016,3,13,2
0,10,10,0,38,87000.0,2016,3,13,7
0,5,7,0,38,87000.0,2016,3,13,4
0,5,5,0,38,87000.0,2016,3,13,6
1,10,7,1,47,46000.0,2017,10,15,2
1,5,7,1,47,46000.0,2017,10,15,4
1,20,10,1,47,46000.0,2017,10,15,0
0,10,7,0,80,118000.0,2018,2,10,2
0,10,10,0,80,118000.0,2018,2,10,7
0,7,7,0,80,118000.0,2018,2,10,1
0,10,7,0,63,97000.0,2016,6,19,2
0,5,5,0,63,97000.0,2016,6,19,6
0,20,10,0,63,97000.0,2016,6,19,0
0,10,7,0,73,113000.0,2017,8,8,2
0,10,10,0,73,113000.0,2017,8,8,7
0,10,7,0,73,113000.0,2017,8,8,5
0,10,5,0,73,113000.0,2017,8,8,3
0,10,7,0,43,51000.0,2015,10,16,2
0,10,7,0,43,51000.0,2015,10,16,5
0,10,5,0,43,51000.0,2015,10,16,3
0,7,7,0,43,51000.0,2015,10,16,1
0,5,5,0,43,51000.0,2015,10,16,6
1,10,7,1,71,74000.0,2017,12,12,2
1,10,10,1,71,74000.0,2017,12,12,7
1,7,7,1,71,74000.0,2017,12,12,1
1,5,5,1,71,74000.0,2017,12,12,6
1,10,7,1,56,70000.0,2016,10,14,2
1,10,10,1,56,70000.0,2016,10,14,7
1,10,5,1,56,70000.0,2016,10,14,3
1,7,7,1,56,70000.0,2016,10,14,1
0,10,7,0,36,53000.0,2017,10,19,2
0,10,7,0,36,53000.0,2017,10,19,5
0,20,10,0,36,53000.0,2017,10,19,0
2,10,7,2,58,86000.0,2015,10,10,2
2,10,7,2,58,86000.0,2015,10,10,5
2,20,10,2,58,86000.0,2015,10,10,0
1,10,7,1,64,63000.0,2017,5,25,2
1,5,7,1,64,63000.0,2017,5,25,4
1,10,7,1,37,85000.0,2017,12,29,2
1,10,10,1,37,85000.0,2017,12,29,7
1,10,7,1,37,85000.0,2017,12,29,5
1,10,7,1,61,68000.0,2015,6,7,2
0,10,7,0,49,74000.0,2016,7,22,2
0,10,10,0,49,74000.0,2016,7,22,7
0,10,5,0,49,74000.0,2016,7,22,3
0,20,10,0,49,74000.0,2016,7,22,0
0,10,7,0,59,56000.0,2018,1,17,2
0,5,7,0,59,56000.0,2018,1,17,4
0,10,7,0,59,56000.0,2018,1,17,5
0,10,5,0,59,56000.0,2018,1,17,3
0,5,5,0,59,56000.0,2018,1,17,6
0,10,7,0,79,88000.0,2016,5,2,2
1,10,7,1,69,60000.0,2017,1,20,2
1,10,10,1,69,60000.0,2017,1,20,7
1,20,10,1,69,60000.0,2017,1,20,0
1,10,7,1,50,57000.0,2016,4,26,2
1,10,10,1,50,57000.0,2016,4,26,7
0,10,7,0,64,70000.0,2014,12,3,2
0,10,10,0,64,70000.0,2014,12,3,7
0,5,7,0,64,70000.0,2014,12,3,4
0,10,7,0,64,70000.0,2014,12,3,5
0,10,7,0,84,68000.0,2018,4,14,2
0,10,7,0,58,77000.0,2016,9,6,2
0,5,7,0,58,77000.0,2016,9,6,4
0,10,7,0,53,75000.0,2016,5,12,2
0,10,7,0,53,75000.0,2016,5,12,5
0,7,7,0,53,75000.0,2016,5,12,1
0,10,7,0,54,63000.0,2016,1,15,2
0,10,10,0,54,63000.0,2016,1,15,7
0,5,7,0,54,63000.0,2016,1,15,4
1,10,7,1,57,72000.0,2017,2,27,2
1,20,10,1,57,72000.0,2017,2,27,0
1,10,7,1,63,89000.0,2015,12,29,2
1,10,7,1,63,89000.0,2015,12,29,5
1,10,5,1,63,89000.0,2015,12,29,3
1,10,7,1,69,103000.0,2017,5,11,2
1,5,7,1,69,103000.0,2017,5,11,4
1,10,5,1,69,103000.0,2017,5,11,3
1,5,5,1,69,103000.0,2017,5,11,6
0,10,7,0,58,97000.0,2018,1,24,2
0,10,5,0,58,97000.0,2018,1,24,3
0,7,7,0,58,97000.0,2018,1,24,1
1,10,7,1,36,74000.0,2017,6,24,2
1,10,10,1,36,74000.0,2017,6,24,7
1,5,7,1,36,74000.0,2017,6,24,4
0,10,7,0,72,101000.0,2018,7,15,2
0,5,7,0,72,101000.0,2018,7,15,4
1,10,7,1,58,94000.0,2015,11,30,2
1,10,5,1,58,94000.0,2015,11,30,3
0,10,7,0,48,52000.0,2017,5,16,2
0,10,5,0,48,52000.0,2017,5,16,3
0,10,7,0,53,69000.0,2015,4,28,2
0,10,5,0,53,69000.0,2015,4,28,3
0,10,7,0,38,56000.0,2015,11,19,2
0,5,7,0,38,56000.0,2015,11,19,4
1,10,7,1,46,32000.0,2016,11,4,2
1,10,7,1,46,32000.0,2016,11,4,5
1,20,10,1,46,32000.0,2016,11,4,0
0,10,7,0,96,78000.0,2016,2,16,2
0,10,7,0,96,78000.0,2016,2,16,5
0,5,5,0,96,78000.0,2016,2,16,6
2,10,7,2,55,79000.0,2018,3,15,2
2,5,7,2,55,79000.0,2018,3,15,4
2,10,5,2,55,79000.0,2018,3,15,3
2,5,5,2,55,79000.0,2018,3,15,6
0,10,7,0,78,112000.0,2016,6,20,2
0,10,7,0,73,57000.0,2016,9,21,2
0,10,10,0,73,57000.0,2016,9,21,7
0,10,5,0,73,57000.0,2016,9,21,3
0,5,5,0,73,57000.0,2016,9,21,6
0,10,7,0,66,74000.0,2017,7,15,2
